kb_size,case_id,expected,retrieved_vote,vote_correct,faithfulness,llm_context_precision_with_reference,context_recall
30,EVAL-001,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.75,0.0,0.6666666666666666
30,EVAL-002,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.6666666666666666,0.0,0.5
30,EVAL-003,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.6,0.0,0.5
30,EVAL-004,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.75,0.0,0.0
30,EVAL-005,EDI_MAPPING_ERROR,AUTH_FAILURE,0,1.0,0.0,0.0
30,EVAL-006,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.2857142857142857,0.0,0.3333333333333333
30,EVAL-007,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.6,0.0,0.5
30,EVAL-008,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.3333333333333333,0.0,0.5
30,EVAL-009,PARTNER_API_TIMEOUT,PARTNER_API_TIMEOUT,1,0.6,0.99999999995,0.5
30,EVAL-010,PARTNER_API_TIMEOUT,PARTNER_API_TIMEOUT,1,0.6,0.49999999995,0.5
30,EVAL-011,PARTNER_API_TIMEOUT,AUTH_FAILURE,0,0.5,0.0,0.5
30,EVAL-012,PARTNER_API_TIMEOUT,AUTH_FAILURE,0,0.5714285714285714,0.0,0.5
30,EVAL-013,PARTNER_API_TIMEOUT,DUPLICATE_TRANSACTION,0,0.8333333333333334,0.0,1.0
30,EVAL-014,PARTNER_API_TIMEOUT,PARTNER_API_TIMEOUT,1,0.75,0.0,1.0
30,EVAL-015,PARTNER_API_TIMEOUT,AUTH_FAILURE,0,0.75,0.0,0.0
30,EVAL-016,PARTNER_API_TIMEOUT,RATE_LIMIT_EXCEEDED,0,0.6666666666666666,0.0,0.0
30,EVAL-017,NETSUITE_QUEUE_BACKLOG,NETSUITE_QUEUE_BACKLOG,1,0.5,0.3333333333,0.5
30,EVAL-018,NETSUITE_QUEUE_BACKLOG,NETSUITE_QUEUE_BACKLOG,1,1.0,0.0,0.0
30,EVAL-019,NETSUITE_QUEUE_BACKLOG,NETSUITE_QUEUE_BACKLOG,1,0.75,0.0,1.0
30,EVAL-020,NETSUITE_QUEUE_BACKLOG,NETSUITE_QUEUE_BACKLOG,1,0.6666666666666666,0.0,0.5
30,EVAL-021,NETSUITE_QUEUE_BACKLOG,PARTNER_API_TIMEOUT,0,1.0,0.0,0.0
30,EVAL-022,NETSUITE_QUEUE_BACKLOG,AUTH_FAILURE,0,1.0,0.0,0.0
30,EVAL-023,NETSUITE_QUEUE_BACKLOG,NETSUITE_QUEUE_BACKLOG,1,0.5,0.8333333332916666,1.0
30,EVAL-024,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,0.6,0.0,0.5
30,EVAL-025,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,0.5,0.9999999999,0.5
30,EVAL-026,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,1.0,0.0,0.5
30,EVAL-027,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,0.4,0.99999999995,0.5
30,EVAL-028,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,0.16666666666666666,0.0,0.5
30,EVAL-029,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,0.7777777777777778,0.0,0.5
30,EVAL-030,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,0.5,0.9999999999,1.0
30,EVAL-031,AUTH_FAILURE,AUTH_FAILURE,1,1.0,nan,0.5
30,EVAL-032,AUTH_FAILURE,AUTH_FAILURE,1,0.6,0.0,0.0
30,EVAL-033,AUTH_FAILURE,AUTH_FAILURE,1,0.4,0.49999999995,1.0
30,EVAL-034,AUTH_FAILURE,AUTH_FAILURE,1,0.8,0.0,0.5
30,EVAL-035,AUTH_FAILURE,AUTH_FAILURE,1,1.0,0.9999999999,1.0
30,EVAL-036,AUTH_FAILURE,AUTH_FAILURE,1,0.6666666666666666,0.0,0.0
30,EVAL-037,AUTH_FAILURE,AUTH_FAILURE,1,0.75,0.9999999999,1.0
30,EVAL-038,RATE_LIMIT_EXCEEDED,NETSUITE_QUEUE_BACKLOG,0,0.6666666666666666,0.99999999995,0.5
30,EVAL-039,RATE_LIMIT_EXCEEDED,PARTNER_API_TIMEOUT,0,0.75,0.0,0.5
30,EVAL-040,RATE_LIMIT_EXCEEDED,RATE_LIMIT_EXCEEDED,1,0.5714285714285714,0.0,0.5
30,EVAL-041,RATE_LIMIT_EXCEEDED,RATE_LIMIT_EXCEEDED,1,0.3333333333333333,0.99999999995,0.5
30,EVAL-042,RATE_LIMIT_EXCEEDED,RATE_LIMIT_EXCEEDED,1,0.6666666666666666,0.0,0.5
30,EVAL-043,RATE_LIMIT_EXCEEDED,NETSUITE_QUEUE_BACKLOG,0,1.0,0.99999999995,0.5
30,EVAL-044,RATE_LIMIT_EXCEEDED,EDI_MAPPING_ERROR,0,0.6,0.0,0.5
60,EVAL-001,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.6666666666666666,0.0,0.6666666666666666
60,EVAL-002,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.2,0.9999999999,0.5
60,EVAL-003,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.4,0.0,0.5
60,EVAL-004,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.4,0.0,0.0
60,EVAL-005,EDI_MAPPING_ERROR,DUPLICATE_TRANSACTION,0,0.6666666666666666,0.0,0.0
60,EVAL-006,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.6,0.3333333333,0.6666666666666666
60,EVAL-007,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.75,0.0,0.5
60,EVAL-008,EDI_MAPPING_ERROR,EDI_MAPPING_ERROR,1,0.75,0.0,0.5
60,EVAL-009,PARTNER_API_TIMEOUT,PARTNER_API_TIMEOUT,1,1.0,0.8333333332916666,0.5
60,EVAL-010,PARTNER_API_TIMEOUT,PARTNER_API_TIMEOUT,1,0.6666666666666666,0.0,0.5
60,EVAL-011,PARTNER_API_TIMEOUT,RATE_LIMIT_EXCEEDED,0,0.5,0.0,0.0
60,EVAL-012,PARTNER_API_TIMEOUT,AUTH_FAILURE,0,0.4444444444444444,0.0,0.0
60,EVAL-013,PARTNER_API_TIMEOUT,PARTNER_API_TIMEOUT,1,0.375,0.0,0.5
60,EVAL-014,PARTNER_API_TIMEOUT,PARTNER_API_TIMEOUT,1,1.0,0.9999999999,1.0
60,EVAL-015,PARTNER_API_TIMEOUT,PARTNER_API_TIMEOUT,1,0.5,0.0,0.0
60,EVAL-016,PARTNER_API_TIMEOUT,RATE_LIMIT_EXCEEDED,0,0.6666666666666666,0.0,0.0
60,EVAL-017,NETSUITE_QUEUE_BACKLOG,NETSUITE_QUEUE_BACKLOG,1,0.7272727272727273,0.0,0.0
60,EVAL-018,NETSUITE_QUEUE_BACKLOG,NETSUITE_QUEUE_BACKLOG,1,0.75,0.0,0.5
60,EVAL-019,NETSUITE_QUEUE_BACKLOG,NETSUITE_QUEUE_BACKLOG,1,0.8,0.0,1.0
60,EVAL-020,NETSUITE_QUEUE_BACKLOG,NETSUITE_QUEUE_BACKLOG,1,1.0,0.0,0.5
60,EVAL-021,NETSUITE_QUEUE_BACKLOG,NETSUITE_QUEUE_BACKLOG,1,0.8,0.0,0.5
60,EVAL-022,NETSUITE_QUEUE_BACKLOG,NETSUITE_QUEUE_BACKLOG,1,0.5,0.0,0.0
60,EVAL-023,NETSUITE_QUEUE_BACKLOG,PARTNER_API_TIMEOUT,0,1.0,0.3333333333,0.5
60,EVAL-024,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,0.625,0.0,0.5
60,EVAL-025,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,0.5,0.8333333332916666,0.6666666666666666
60,EVAL-026,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,1.0,0.0,0.5
60,EVAL-027,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,0.4,0.99999999995,0.6666666666666666
60,EVAL-028,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,0.3333333333333333,0.0,0.5
60,EVAL-029,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,1.0,0.9999999999,0.5
60,EVAL-030,DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION,1,0.7142857142857143,0.9999999999,1.0
60,EVAL-031,AUTH_FAILURE,AUTH_FAILURE,1,1.0,0.9999999999,0.5
60,EVAL-032,AUTH_FAILURE,AUTH_FAILURE,1,0.5,0.0,0.5
60,EVAL-033,AUTH_FAILURE,AUTH_FAILURE,1,0.4,0.49999999995,1.0
60,EVAL-034,AUTH_FAILURE,AUTH_FAILURE,1,0.2,0.0,0.5
60,EVAL-035,AUTH_FAILURE,AUTH_FAILURE,1,0.5,0.9999999999,0.5
60,EVAL-036,AUTH_FAILURE,AUTH_FAILURE,1,0.5,0.0,0.0
60,EVAL-037,AUTH_FAILURE,AUTH_FAILURE,1,0.75,0.9999999999,1.0
60,EVAL-038,RATE_LIMIT_EXCEEDED,RATE_LIMIT_EXCEEDED,1,0.5,0.49999999995,0.5
60,EVAL-039,RATE_LIMIT_EXCEEDED,RATE_LIMIT_EXCEEDED,1,0.75,0.9999999999,0.5
60,EVAL-040,RATE_LIMIT_EXCEEDED,RATE_LIMIT_EXCEEDED,1,0.2,0.9999999999,0.5
60,EVAL-041,RATE_LIMIT_EXCEEDED,PARTNER_API_TIMEOUT,0,0.5,0.9999999999,0.5
60,EVAL-042,RATE_LIMIT_EXCEEDED,RATE_LIMIT_EXCEEDED,1,0.5,0.0,0.5
60,EVAL-043,RATE_LIMIT_EXCEEDED,NETSUITE_QUEUE_BACKLOG,0,1.0,0.99999999995,0.5
60,EVAL-044,RATE_LIMIT_EXCEEDED,DUPLICATE_TRANSACTION,0,0.42857142857142855,0.49999999995,0.5
