case_id,failure_category,expected_routing,predicted_routing,confidence,correct
EVAL-001,EDI_MAPPING_ERROR,AUTO_REMEDIATE,INVESTIGATE,0.8,0
EVAL-002,EDI_MAPPING_ERROR,AUTO_REMEDIATE,INVESTIGATE,0.78,0
EVAL-003,EDI_MAPPING_ERROR,INVESTIGATE,INVESTIGATE,0.8,1
EVAL-004,EDI_MAPPING_ERROR,AUTO_REMEDIATE,INVESTIGATE,0.8,0
EVAL-005,EDI_MAPPING_ERROR,ESCALATE,INVESTIGATE,0.8,0
EVAL-006,EDI_MAPPING_ERROR,AUTO_REMEDIATE,INVESTIGATE,0.8,0
EVAL-007,EDI_MAPPING_ERROR,INVESTIGATE,INVESTIGATE,0.8,1
EVAL-008,EDI_MAPPING_ERROR,AUTO_REMEDIATE,INVESTIGATE,0.8,0
EVAL-009,PARTNER_API_TIMEOUT,AUTO_REMEDIATE,AUTO_REMEDIATE,0.9,1
EVAL-010,PARTNER_API_TIMEOUT,AUTO_REMEDIATE,INVESTIGATE,0.7,0
EVAL-011,PARTNER_API_TIMEOUT,ESCALATE,ESCALATE,0.9,1
EVAL-012,PARTNER_API_TIMEOUT,AUTO_REMEDIATE,INVESTIGATE,0.7,0
EVAL-013,PARTNER_API_TIMEOUT,ESCALATE,INVESTIGATE,0.8,0
EVAL-014,PARTNER_API_TIMEOUT,INVESTIGATE,INVESTIGATE,0.78,1
EVAL-015,PARTNER_API_TIMEOUT,AUTO_REMEDIATE,INVESTIGATE,0.7,0
EVAL-016,PARTNER_API_TIMEOUT,ESCALATE,INVESTIGATE,0.8,0
EVAL-017,NETSUITE_QUEUE_BACKLOG,INVESTIGATE,INVESTIGATE,0.8,1
EVAL-018,NETSUITE_QUEUE_BACKLOG,ESCALATE,INVESTIGATE,0.78,0
EVAL-019,NETSUITE_QUEUE_BACKLOG,INVESTIGATE,INVESTIGATE,0.8,1
EVAL-020,NETSUITE_QUEUE_BACKLOG,ESCALATE,INVESTIGATE,0.8,0
EVAL-021,NETSUITE_QUEUE_BACKLOG,INVESTIGATE,AUTO_REMEDIATE,0.9,0
EVAL-022,NETSUITE_QUEUE_BACKLOG,ESCALATE,INVESTIGATE,0.78,0
EVAL-023,NETSUITE_QUEUE_BACKLOG,INVESTIGATE,INVESTIGATE,0.7,1
EVAL-024,DUPLICATE_TRANSACTION,INVESTIGATE,INVESTIGATE,0.8,1
EVAL-025,DUPLICATE_TRANSACTION,ESCALATE,INVESTIGATE,0.8,0
EVAL-026,DUPLICATE_TRANSACTION,INVESTIGATE,INVESTIGATE,0.78,1
EVAL-027,DUPLICATE_TRANSACTION,ESCALATE,INVESTIGATE,0.8,0
EVAL-028,DUPLICATE_TRANSACTION,INVESTIGATE,INVESTIGATE,0.7,1
EVAL-029,DUPLICATE_TRANSACTION,INVESTIGATE,INVESTIGATE,0.8,1
EVAL-030,DUPLICATE_TRANSACTION,INVESTIGATE,INVESTIGATE,0.78,1
EVAL-031,AUTH_FAILURE,AUTO_REMEDIATE,INVESTIGATE,0.8,0
EVAL-032,AUTH_FAILURE,AUTO_REMEDIATE,INVESTIGATE,0.7,0
EVAL-033,AUTH_FAILURE,ESCALATE,INVESTIGATE,0.8,0
EVAL-034,AUTH_FAILURE,INVESTIGATE,INVESTIGATE,0.78,1
EVAL-035,AUTH_FAILURE,ESCALATE,INVESTIGATE,0.85,0
EVAL-036,AUTH_FAILURE,AUTO_REMEDIATE,INVESTIGATE,0.8,0
EVAL-037,AUTH_FAILURE,ESCALATE,INVESTIGATE,0.8,0
EVAL-038,RATE_LIMIT_EXCEEDED,AUTO_REMEDIATE,INVESTIGATE,0.8,0
EVAL-039,RATE_LIMIT_EXCEEDED,AUTO_REMEDIATE,AUTO_REMEDIATE,0.9,1
EVAL-040,RATE_LIMIT_EXCEEDED,INVESTIGATE,INVESTIGATE,0.8,1
EVAL-041,RATE_LIMIT_EXCEEDED,AUTO_REMEDIATE,INVESTIGATE,0.8,0
EVAL-042,RATE_LIMIT_EXCEEDED,INVESTIGATE,INVESTIGATE,0.8,1
EVAL-043,RATE_LIMIT_EXCEEDED,AUTO_REMEDIATE,INVESTIGATE,0.78,0
EVAL-044,RATE_LIMIT_EXCEEDED,ESCALATE,INVESTIGATE,0.8,0
