case_id,expected_routing,modal_routing,consistency,entropy_certainty,n_distinct,correct,samples
EVAL-001,AUTO_REMEDIATE,INVESTIGATE,0.6,0.3873983807106558,2,0,AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE
EVAL-002,AUTO_REMEDIATE,INVESTIGATE,0.6,0.3873983807106558,2,0,INVESTIGATE|AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE
EVAL-003,INVESTIGATE,INVESTIGATE,1.0,1.0,1,1,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
EVAL-004,AUTO_REMEDIATE,INVESTIGATE,0.6,0.3873983807106558,2,0,AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
EVAL-005,ESCALATE,INVESTIGATE,0.8,0.5445140849964047,2,0,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE
EVAL-006,AUTO_REMEDIATE,INVESTIGATE,0.6,0.3873983807106558,2,0,AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
EVAL-007,INVESTIGATE,INVESTIGATE,0.6,0.3873983807106558,2,1,INVESTIGATE|AUTO_REMEDIATE|INVESTIGATE|AUTO_REMEDIATE|INVESTIGATE
EVAL-008,AUTO_REMEDIATE,AUTO_REMEDIATE,0.8,0.5445140849964047,2,1,AUTO_REMEDIATE|INVESTIGATE|AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE
EVAL-009,AUTO_REMEDIATE,AUTO_REMEDIATE,1.0,1.0,1,1,AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE
EVAL-010,AUTO_REMEDIATE,AUTO_REMEDIATE,0.6,0.3873983807106558,2,1,INVESTIGATE|AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE|AUTO_REMEDIATE
EVAL-011,ESCALATE,AUTO_REMEDIATE,0.6,0.3873983807106558,2,0,INVESTIGATE|AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE|AUTO_REMEDIATE
EVAL-012,AUTO_REMEDIATE,AUTO_REMEDIATE,0.6,0.3873983807106558,2,1,INVESTIGATE|AUTO_REMEDIATE|INVESTIGATE|AUTO_REMEDIATE|AUTO_REMEDIATE
EVAL-013,ESCALATE,AUTO_REMEDIATE,0.6,0.3873983807106558,2,0,INVESTIGATE|AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE
EVAL-014,INVESTIGATE,AUTO_REMEDIATE,0.6,0.3873983807106558,2,0,AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE
EVAL-015,AUTO_REMEDIATE,INVESTIGATE,0.8,0.5445140849964047,2,0,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE
EVAL-016,ESCALATE,INVESTIGATE,0.8,0.5445140849964047,2,0,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE
EVAL-017,INVESTIGATE,INVESTIGATE,0.8,0.5445140849964047,2,1,AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
EVAL-018,ESCALATE,INVESTIGATE,0.6,0.3873983807106558,2,0,AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE
EVAL-019,INVESTIGATE,AUTO_REMEDIATE,0.6,0.3873983807106558,2,0,AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE
EVAL-020,ESCALATE,AUTO_REMEDIATE,0.6,0.3873983807106558,2,0,AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE|AUTO_REMEDIATE
EVAL-021,INVESTIGATE,INVESTIGATE,0.6,0.3873983807106558,2,1,INVESTIGATE|AUTO_REMEDIATE|INVESTIGATE|AUTO_REMEDIATE|INVESTIGATE
EVAL-022,ESCALATE,INVESTIGATE,1.0,1.0,1,0,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
EVAL-023,INVESTIGATE,INVESTIGATE,0.6,0.3873983807106558,2,1,AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
EVAL-024,INVESTIGATE,INVESTIGATE,1.0,1.0,1,1,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
EVAL-025,ESCALATE,INVESTIGATE,1.0,1.0,1,0,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
EVAL-026,INVESTIGATE,INVESTIGATE,0.6,0.3873983807106558,2,1,INVESTIGATE|AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE
EVAL-027,ESCALATE,INVESTIGATE,1.0,1.0,1,0,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
EVAL-028,INVESTIGATE,INVESTIGATE,0.8,0.5445140849964047,2,1,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE
EVAL-029,INVESTIGATE,INVESTIGATE,0.8,0.5445140849964047,2,1,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE
EVAL-030,INVESTIGATE,INVESTIGATE,0.8,0.5445140849964047,2,1,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE
EVAL-031,AUTO_REMEDIATE,INVESTIGATE,0.6,0.3873983807106558,2,0,AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
EVAL-032,AUTO_REMEDIATE,AUTO_REMEDIATE,0.6,0.3873983807106558,2,1,AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE|AUTO_REMEDIATE
EVAL-033,ESCALATE,AUTO_REMEDIATE,0.6,0.3873983807106558,2,0,AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE
EVAL-034,INVESTIGATE,INVESTIGATE,1.0,1.0,1,1,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
EVAL-035,ESCALATE,INVESTIGATE,0.6,0.3873983807106558,2,0,INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE
EVAL-036,AUTO_REMEDIATE,AUTO_REMEDIATE,0.6,0.3873983807106558,2,1,INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE
EVAL-037,ESCALATE,INVESTIGATE,0.8,0.5445140849964047,2,0,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|ESCALATE
EVAL-038,AUTO_REMEDIATE,AUTO_REMEDIATE,1.0,1.0,1,1,AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE
EVAL-039,AUTO_REMEDIATE,AUTO_REMEDIATE,0.6,0.3873983807106558,2,1,INVESTIGATE|AUTO_REMEDIATE|INVESTIGATE|AUTO_REMEDIATE|AUTO_REMEDIATE
EVAL-040,INVESTIGATE,AUTO_REMEDIATE,0.8,0.5445140849964047,2,0,INVESTIGATE|AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE
EVAL-041,AUTO_REMEDIATE,INVESTIGATE,0.8,0.5445140849964047,2,0,INVESTIGATE|INVESTIGATE|AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE
EVAL-042,INVESTIGATE,AUTO_REMEDIATE,1.0,1.0,1,0,AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE|AUTO_REMEDIATE
EVAL-043,AUTO_REMEDIATE,INVESTIGATE,1.0,1.0,1,0,INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
EVAL-044,ESCALATE,INVESTIGATE,0.6,0.3873983807106558,2,0,AUTO_REMEDIATE|AUTO_REMEDIATE|INVESTIGATE|INVESTIGATE|INVESTIGATE
